Ordering,Fold,method,uses_unique,Source,prediction,n,N,prop
Poultry,Fold5,ranger,No,Beef,Poultry,151,1246,0.12118780096308186
Poultry,Fold5,ranger,No,Beef,Sheep,450,1246,0.3611556982343499
Poultry,Fold5,ranger,No,Poultry,Beef,156,1735,0.08991354466858789
Poultry,Fold5,ranger,No,Poultry,Poultry,1394,1735,0.8034582132564841
Poultry,Fold5,ranger,No,Poultry,Sheep,185,1735,0.10662824207492795
Poultry,Fold5,ranger,No,Sheep,Beef,249,1425,0.17473684210526316
Poultry,Fold5,ranger,No,Sheep,Poultry,88,1425,0.061754385964912284
Poultry,Fold5,ranger,No,Sheep,Sheep,1088,1425,0.7635087719298246
Poultry,Fold5,ranger,Yes,Beef,Beef,201,454,0.44273127753303965
Poultry,Fold5,ranger,Yes,Beef,Poultry,165,454,0.3634361233480176
Poultry,Fold5,ranger,Yes,Beef,Sheep,88,454,0.19383259911894274
Poultry,Fold5,ranger,Yes,Poultry,Beef,19,315,0.06031746031746032
Poultry,Fold5,ranger,Yes,Poultry,Poultry,268,315,0.8507936507936508
Poultry,Fold5,ranger,Yes,Poultry,Sheep,28,315,0.08888888888888889
Poultry,Fold5,ranger,Yes,Sheep,Beef,137,425,0.32235294117647056
Poultry,Fold5,ranger,Yes,Sheep,Poultry,131,425,0.30823529411764705
Poultry,Fold5,ranger,Yes,Sheep,Sheep,157,425,0.36941176470588233
